Account,Dollar,Country,SIC,Decision,POS,Card,Outcome
254287,421.16,1,4681,1,1,1,0
599116,509.84,1,1238,1,2,2,0
463873,534.41,1,2230,1,1,1,0
583042,582.98,1,1205,1,2,2,1
471102,390.58,1,2583,1,1,2,0
985205,509.07,1,1944,1,1,2,1
499899,528.33,1,1547,1,1,1,0
766315,526.77,1,5002,1,2,2,1
977398,527.75,1,1615,1,1,2,0
139466,481.66,1,1368,1,1,2,0
760170,498.27,1,4542,1,1,2,0
990238,614.77,1,5491,1,1,1,0
492192,499.48,1,4376,1,1,2,0
985120,608.83,1,2610,1,1,1,0
680978,512.69,1,2358,1,1,1,1
946341,481.89,1,1393,1,1,1,0
216629,485.04,1,2465,1,1,1,1
606713,747.27,1,1516,1,2,2,0
935687,502.65,1,5226,1,1,1,0
945651,516.04,1,3179,1,2,2,0
888656,512.20,2,2595,2,1,1,0
972040,489.64,2,2347,2,1,1,1
868312,485.96,2,1156,2,1,1,0
339404,588.87,2,3405,2,1,1,0
111226,432.68,2,3664,2,1,2,0
185297,733.12,2,5518,2,1,1,0
191626,520.84,2,3414,2,2,2,1
711959,470.01,2,5234,2,1,2,1
937924,462.08,2,4441,2,1,2,0
101766,440.99,2,2767,2,1,1,0
385851,519.03,2,2934,2,1,1,0
754636,534.20,2,2154,2,2,2,0
621150,503.11,2,3569,2,1,1,0
208210,623.45,2,2321,2,1,1,0
188640,545.87,2,4793,2,1,1,1
136323,400.76,2,1611,2,1,1,1
739176,516.81,2,5858,2,1,2,0
979286,560.20,2,4773,2,2,2,0
168777,491.11,2,5229,2,1,2,1
525931,542.15,2,4691,2,2,2,1
284304,598.75,3,1282,3,2,2,1
356417,520.02,3,1746,3,1,1,0
315890,565.09,3,2661,3,2,2,0
378034,678.80,3,1851,3,2,2,1
560955,444.42,3,5080,3,1,1,0
360935,619.11,3,2670,3,1,2,0
873542,395.21,3,4357,3,1,1,0
249477,332.41,3,3694,3,1,1,0
797719,556.30,3,4160,3,2,2,0
426189,385.32,3,2111,3,2,2,0
629323,465.97,3,5797,3,2,2,0
322077,407.88,3,4089,3,2,2,0
471637,495.53,3,3866,3,1,2,0
826070,415.38,3,5875,3,2,2,0
235761,548.68,3,1558,3,1,2,1
234012,401.36,3,5860,3,1,1,0
208156,450.62,3,3121,3,1,2,0
764392,397.67,3,5602,3,1,2,0
339869,643.92,3,4343,3,2,2,0
691593,492.56,3,5549,3,1,1,0
817282,516.18,4,1863,4,1,2,0
562191,646.23,4,5695,4,1,1,0
250716,554.57,4,1426,4,1,1,0
889934,558.40,4,1673,4,1,1,0
594473,433.33,4,3814,4,2,2,0
478523,712.25,4,1605,4,1,1,0
234028,521.74,4,5140,4,1,1,0
814473,467.84,4,1998,4,1,2,0
867403,434.18,4,5538,4,1,1,0
397022,571.50,4,3351,4,1,1,0
182514,423.10,4,3409,4,1,1,0
851749,511.82,4,1819,4,1,2,0
